,symbol,price,change,eps,pe
0,ORCL,51.79,-1.18,3.18,16.286163
0,GFN,5.3,-0.53,0.574,9.23345
0,DGLY,0.8711,-0.0089,-0.872,
0,TRCB,22.4,0.0,1.26,17.777777
0,VNDA,11.35,-0.15,2.11,5.3791475
0,INWK,1.66,-0.11,-0.19,
0,ATEC,4.45,-0.08,-1.091,
0,GEN,0.8502,-0.0198,0.1,8.502
0,RST,16.73,-0.35,-0.553,
0,CXDC,0.9105,-0.0694,1.219,0.7469237
0,PGTI,9.78,-0.56,0.74,13.216216
0,HWCC,2.22,-0.09,0.15,14.799999
0,CUR,1.52,,,
0,KBR,19.61,-0.65,0.395,49.64557
0,CXO,56.73,0.01,-46.902,
0,HBI,9.58,-0.36,1.407,6.808813
0,VSI,6.5,-0.02,-0.374,
0,EVR,49.93,-1.67,6.126,8.150506
0,PRIM,15.02,-0.59,1.61,9.329193
0,ORBC,2.44,-0.2,-0.252,
0,ICFI,71.26,-2.28,3.59,19.849583
0,ALGT,73.83,-4.65,14.258,5.1781454
0,IPHS,31.99,0.0,1.079,29.647821
0,BLK,484.16,-17.88,26.982,17.943815
0,SPR,20.47,-1.69,5.063,4.043057
0,WU,18.52,-0.55,2.46,7.5284553
0,GLUU,7.9,0.1,0.06,131.66667
0,FNJN,1.15,-0.08,-0.6,
0,GSAT,0.3208,0.0008,-0.067,
0,SNOA,5.03,-0.06,-3.522,
0,EBS,78.7,4.75,1.295,60.7722
0,CZWI,7.9,0.2,0.977,8.085978
0,ATHX,2.45,0.15,-0.294,
0,CLNE,1.98,-0.175,0.1,19.8
0,HPJ,2.99,-0.01,0.421,7.1021376
0,SBH,9.55,-0.16,2.172,4.3968697
0,AVAV,59.22,-1.04,1.213,48.821102
0,CPRX,4.6,-0.14,0.3,15.333332
0,CBPO,105.14,0.9,3.53,29.784702
0,WLDN,23.47,-1.89,0.41,57.2439
0,OC,41.32,-2.04,-5.1,
0,III,2.43,-0.07,0.009,270.00003
0,GLDD,8.42,-0.42,0.763,11.035387
0,GRBK,8.52,-0.39,1.16,7.344828
0,SE,54.78,-0.8,-3.35,
0,AIMC,25.55,-2.36,-0.393,
0,SMCI,22.23,-0.67,1.63,13.638037
0,CVI,20.61,-3.24,3.781,5.450939
0,NCMI,3.14,-0.16,0.46,6.826087
0,AVNW,9.06,-0.51,1.189,7.6198487
0,OPTT,0.513,0.0667,-2.118,
0,TA,10.24,-0.77,4.117,2.487248
0,BLIN,1.11,0.04,-3.806,
0,PBCT,11.965,-0.725,1.268,9.43612
0,PRTS,3.32,0.11,-0.89,
0,EIG,29.55,-0.82,2.203,13.413527
0,IBKR,41.03,0.03,1.609,25.50031
0,UFS,22.54,-0.82,1.37,16.452555
0,TFSL,14.26,0.61,0.29,49.172417
0,ESSA,11.42,-0.58,1.287,8.873349
0,BR,113.06,-2.94,3.581,31.572186
0,PNNT,3.13,-0.1,0.422,7.417062
0,CNK,13.52,-0.76,1.63,8.294478
0,TYPE,35.09,-0.05,,
0,CAI,15.12,-1.37,1.229,12.302686
0,AROC,4.47,-0.34,0.698,6.4040112
0,NBY,0.9437,0.0235,-0.485,
0,BKJ,2.2442,-0.0058,-0.075,
0,BK,36.0,-1.54,4.631,7.773699
0,WBC,135.04,0.66,4.78,28.251043
0,LLNW,5.09,0.02,-0.111,
0,PRO,31.9,-2.49,-1.72,
0,DFS,41.37,-1.6,6.741,6.137071
0,DHX,2.71,-0.07,0.24,11.291667
0,KAR,14.06,-0.92,1.423,9.880534
0,VMC,110.68,-2.29,4.634,23.884335
0,LL,6.96,-0.09,0.337,20.652819
0,LULU,218.69,-4.79,4.93,44.359028
0,PZN,4.65,-0.27,0.281,16.548044
0,HCI,42.01,0.36,3.309,12.695678
0,FFNW,9.49,-0.33,1.012,9.37747
0,ORN,2.26,-0.26,0.176,12.840909
0,V,175.57,-3.15,5.477,32.05587
0,HCCI,17.6,-0.75,0.697,25.251076
0,BMRC,31.71,-1.25,2.472,12.82767
0,ULTA,214.28,-3.64,12.15,17.636215
